690   24    1.85   0.10
785   34    2.2    0
667   17    3.4    1.4
690   20    1.63   0.15
667   100   12.7   8.0
667   6     0.9    0.2
667   19    2.4    1.2
690   28    2.0    0.1
770   31    2.8    0
770   40    4.7    0
770   100   12     0
780   55    5.5    0.35
780   100   19.3   1.35
785   38    4.7    0.5
785   100   2.1    1
785   200   12.4   3.8
785   300   14.0   4.0
